Név;Átlag;Telefonszám;Születési idő
Kovács Péter;3.9;+36201234567;2000-05-15
Mészáros Laura;4.1;+36309876543;1999-12-22
Varga László;3.5;+36705551234;2001-07-03
Farkas Dóra;4.3;+36201237890;2000-09-09
Horváth Tamás;4.8;+36303456789;1998-03-30
Balogh Zsuzsa;4.0;+36701234987;1999-01-25
Molnár István;3.7;+36301239876;2001-11-05
Szőke Csilla;4.4;+36201234123;2000-08-18
Németh Márk;3.6;+36707891234;1999-10-12
Tóth Zoltán;4.2;+36203459876;2000-02-02
Szilágyi Piroska;3.9;+36301234654;1998-06-06
Fekete Gábor;3.8;+36209874321;2000-07-27
Takács Emese;4.3;+36703450987;2001-04-09
Juhász Csaba;4.1;+36201237789;1999-09-19
Papp Lili;3.6;+36301234567;2001-03-08
Simon János;4.5;+36201239987;2000-11-11
Boros Eszter;3.7;+36701237845;1998-05-25
Váradi Tamás;4.4;+36303458976;1999-12-30
Nagy Gergő;4.2;+36203456765;2001-01-15
Kis Éva;3.9;+36309876554;1998-08-20
Kiss Noémi;4.0;+36705678912;1999-03-17
Várkonyi Bence;4.1;+36303459012;2000-10-10
Pál Anett;3.5;+36707891239;1999-11-24
Bodnár Kata;4.3;+36201234987;2000-06-21
Lukács Dávid;3.8;+36303458976;1998-02-13
Major Ákos;4.0;+36703459023;1999-09-05
Orsós Petra;4.5;+36201239987;2001-10-30
Hajdú Zsolt;3.6;+36301239876;2000-01-09
Katona Vivien;4.2;+36701234123;1999-04-18
Orbán Katalin;4.1;+36203458987;2000-08-11
Darázs Áron;3.7;+36307891239;1998-11-22
György Melinda;4.4;+36705678934;2001-03-12
Tar Máté;4.3;+36201234123;1999-07-14
Vincze Emília;3.9;+36309874567;2000-12-20
Orosz Balázs;4.2;+36701234654;1998-10-08
Sárközi Bianka;3.8;+36201237890;1999-05-27
Polgár Erika;4.0;+36305678932;2001-06-17
Keresztes Norbert;4.5;+36703450987;2000-04-23
Szabados Kitti;4.1;+36201234987;1998-03-31
